,Domaine,Object_Property,Range
0,scope exclusion assist ,manage,stakeholder expectation 
1,work seller ,develop,support contract 
2,level uncertainty valuation ,evaluate,rank idea 
3,analysis ,useevaluate,way 
4,product project work ,include,project management work 
5,work exclude help ,determine,project management team 
6,process asset inﬂuence ,collect,requirement process 
7,point project ,inputs,tool technique output 
8,attribute ,ensure,requirement meet stakeholder 
9,phase project ,improve,scope control 
10,project help ,manage,stakeholder 
11,scope ,inputs,tool 
12,process ,establish,scope baseline 
13,approach ,establish,criterion requirement 
14,wbs ,organize,deﬁne 
15,work package ,vary,size complexity project 
16,number participant ,ensure,decision 
17,majority decision ,reach,support 
18,scope management plan ,update,reﬂect 
19,wbs ,create,wbs process subdividing 
20,practice ,generate,idea 
21,product analysis technique ,include,limit 
22,product development qfd ,startcollect,customer 
23,work ,refer,work product 
24,detail ,need,design 
25,analysis ,use,deﬁne product service 
26,product requirement care ,determinedocumenting,manage 
27,wbs structure ,create,approach 
28,condition ,meet,order 
29,project work ,include,project management work 
30,approach ,establish,criterion risk level 
31,process ,bring,objectivity acceptance process 
32,requirement ,obtain,prototype 
33,contract work seller ,develop,support contract 
34,training requirement ,need,transition 
35,stakeholder ,register,business document 
36,project life cycle ,determine,series phase 
37,idea ,relate,project product requirement 
38,assumption constraint highlevel requirement project ,,
39,number change request ,receive,number request 
40,person ,authorize,project charter project 
41,project product scope ,avoidmitigate,risk 
42,stakeholder expectation ,enable,project team 
43,project life cycle ,determine,series phase project 
44,,resultinclude,project requirement condition capability 
45,scope statement ,include,description project 
46,component ,require,change request project 
47,business document inﬂuence ,collect,requirement process 
48,requirement ,include,quantiﬁed document need 
49,way ,collect,requirement 
50,technique input output ,define,scope 
51,project meeting ,develop,scope management plan 
52,example ,include,milestone date 
53,information regard wbs ,refer,practice 
54,sponsor process output ,obtain,result planning 
55,requirement ,improve,software development process 
56,control scope process ,include,limit 
57,,leadincrease,stakeholder consensus addition 
58,management plan component ,include,limit scope 
59,expectation ,reduce,scope 
60,relationship ,improve,communication 
61,business requirement higherlevel ,need,organization 
62,measure project execution ,begin,requirement foundation 
63,product analysis ,use,deﬁne product service 
64,organization ,refer,business analysis plan 
65,project product scope ,create,product validate 
66,example document analyze ,include,limit 
67,expectation attitude ,propose,product service 
68,planning iteration ,carry,work progress 
